--------- beginning of main
08-20 14:19:48.891 25046 25185 I godot   : Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
08-20 14:19:48.971 25046 25185 I godot   : Vulkan 1.3.128 - Forward Mobile - Using Device #0: Qualcomm - Adreno (TM) 750
08-20 14:19:49.183 25046 25185 I godot   : 
08-20 14:19:55.078 25046 25185 I godot   : PERF t=2.0 fps=111.6 p95=16.7 cpu=0.4 gpu_est=6.1 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:19:57.093 25046 25185 I godot   : PERF t=4.0 fps=115.4 p95=9.1 cpu=0.4 gpu_est=6.3 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:19:59.078 25046 25185 I godot   : PERF t=6.0 fps=116.1 p95=8.3 cpu=0.4 gpu_est=6.1 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:20:01.079 25046 25185 I godot   : PERF t=8.0 fps=113.4 p95=8.3 cpu=0.4 gpu_est=6.4 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:20:03.087 25046 25185 I godot   : PERF t=10.0 fps=116.2 p95=8.4 cpu=0.5 gpu_est=6.3 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:20:05.095 25046 25185 I godot   : PERF t=12.0 fps=115.2 p95=8.8 cpu=0.4 gpu_est=6.5 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:20:07.103 25046 25185 I godot   : PERF t=14.0 fps=115.2 p95=8.4 cpu=0.6 gpu_est=7.0 dc=105 prim=25564 vram=175 static_mem=135 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=0
08-20 14:20:09.030 25046 25185 I godot   : PERFIO kind=load slot=0 reason=slot ms=236.1 bytes=127236 ok=1
08-20 14:20:09.371 25046 25185 I godot   : PERF t=16.0 fps=91.7 p95=8.4 cpu=0.5 gpu_est=6.7 dc=102 prim=33042 vram=176 static_mem=141 chunks=9 near=4 inst=71 lights=0 preset=balanced knob=0 thermal=1
08-20 14:20:11.387 25046 25185 I godot   : PERF t=18.1 fps=105.9 p95=19.8 cpu=0.5 gpu_est=6.8 dc=102 prim=33044 vram=176 static_mem=142 chunks=9 near=4 inst=71 lights=0 preset=balanced knob=0 thermal=1
