--------- beginning of main
09-01 15:26:05.795 12532 12610 I godot   : Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
09-01 15:26:05.869 12532 12610 I godot   : Vulkan 1.3.128 - Forward Mobile - Using Device #0: Qualcomm - Adreno (TM) 750
09-01 15:26:06.098 12532 12610 I godot   : 
09-01 15:26:11.681 12532 12610 I godot   : PERF t=2.0 fps=106.8 p95=14.2 cpu=0.4 gpu_est=6.4 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:13.681 12532 12610 I godot   : PERF t=4.0 fps=114.3 p95=8.3 cpu=0.4 gpu_est=6.3 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:15.689 12532 12610 I godot   : PERF t=6.0 fps=114.6 p95=8.9 cpu=0.4 gpu_est=6.7 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:17.688 12532 12610 I godot   : PERF t=8.0 fps=114.3 p95=12.5 cpu=0.5 gpu_est=6.6 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:19.731 12532 12610 I godot   : PERF t=10.0 fps=109.8 p95=8.3 cpu=0.6 gpu_est=6.5 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:21.704 12532 12610 I godot   : PERF t=12.0 fps=114.5 p95=10.4 cpu=0.3 gpu_est=6.3 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:23.705 12532 12610 I godot   : PERF t=14.0 fps=114.3 p95=8.4 cpu=0.4 gpu_est=6.0 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:25.712 12532 12610 I godot   : PERF t=16.0 fps=113.4 p95=8.5 cpu=0.4 gpu_est=6.4 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:27.721 12532 12610 I godot   : PERF t=18.1 fps=114.3 p95=8.5 cpu=0.5 gpu_est=7.3 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:29.729 12532 12610 I godot   : PERF t=20.1 fps=114.5 p95=8.4 cpu=0.3 gpu_est=6.4 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:31.737 12532 12610 I godot   : PERF t=22.1 fps=114.3 p95=11.1 cpu=0.6 gpu_est=6.5 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:33.736 12532 12610 I godot   : PERF t=24.1 fps=114.2 p95=8.3 cpu=0.5 gpu_est=7.1 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
09-01 15:26:35.747 12532 12610 I godot   : PERF t=26.1 fps=78.6 p95=14.4 cpu=0.3 gpu_est=9.0 dc=95 prim=25774 vram=187 static_mem=145 chunks=9 near=4 inst=34 lights=0 preset=balanced knob=0 thermal=1
