--------- beginning of main
08-20 14:13:43.036 20000 20032 I godot   : PERF t=96.5 fps=48.4 p95=34.1 cpu=0.7 gpu_est=11.2 dc=164 prim=103272 vram=160 static_mem=144 chunks=9 near=7 inst=70 lights=0 preset=balanced knob=13 thermal=1
08-20 14:13:45.028 20000 20032 I godot   : PERF t=98.5 fps=50.6 p95=26.8 cpu=0.6 gpu_est=11.8 dc=164 prim=91944 vram=160 static_mem=144 chunks=9 near=7 inst=70 lights=0 preset=balanced knob=13 thermal=1
08-20 14:13:47.047 20000 20032 I godot   : PERF t=100.6 fps=44.8 p95=30.6 cpu=0.4 gpu_est=16.1 dc=146 prim=107972 vram=160 static_mem=144 chunks=9 near=5 inst=70 lights=0 preset=balanced knob=14 thermal=1
08-20 14:13:49.068 20000 20032 I godot   : PERF t=102.6 fps=39.0 p95=33.2 cpu=1.0 gpu_est=15.9 dc=160 prim=105988 vram=160 static_mem=147 chunks=9 near=5 inst=70 lights=0 preset=balanced knob=14 thermal=1
08-20 14:13:51.084 20000 20032 I godot   : PERF t=104.6 fps=41.7 p95=33.3 cpu=0.7 gpu_est=11.9 dc=145 prim=104302 vram=160 static_mem=146 chunks=9 near=5 inst=70 lights=0 preset=balanced knob=14 thermal=1
08-20 14:13:53.077 20000 20032 I godot   : PERF t=106.6 fps=48.5 p95=30.5 cpu=0.7 gpu_est=11.7 dc=145 prim=92952 vram=160 static_mem=146 chunks=9 near=5 inst=70 lights=0 preset=balanced knob=15 thermal=1
08-20 14:13:55.099 20000 20032 I godot   : PERF t=108.6 fps=48.0 p95=28.5 cpu=0.9 gpu_est=11.3 dc=121 prim=91268 vram=160 static_mem=146 chunks=9 near=5 inst=70 lights=0 preset=balanced knob=15 thermal=1
08-20 14:13:57.136 20000 20032 I godot   : PERF t=110.6 fps=30.0 p95=0.0 cpu=0.8 gpu_est=11.3 dc=121 prim=92540 vram=160 static_mem=146 chunks=9 near=5 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:13:59.145 20000 20032 I godot   : PERF t=112.7 fps=29.0 p95=42.9 cpu=0.8 gpu_est=22.0 dc=150 prim=79792 vram=160 static_mem=146 chunks=9 near=4 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:01.142 20000 20032 I godot   : PERF t=114.7 fps=28.6 p95=41.7 cpu=1.0 gpu_est=19.6 dc=156 prim=67096 vram=160 static_mem=146 chunks=9 near=4 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:03.168 20000 20032 I godot   : PERF t=116.7 fps=28.8 p95=41.2 cpu=0.6 gpu_est=19.3 dc=155 prim=66396 vram=160 static_mem=146 chunks=9 near=4 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:05.169 20000 20032 I godot   : PERF t=118.7 fps=29.0 p95=42.6 cpu=0.7 gpu_est=18.9 dc=117 prim=33556 vram=160 static_mem=146 chunks=9 near=0 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:07.208 20000 20032 I godot   : PERF t=120.7 fps=29.2 p95=39.3 cpu=0.9 gpu_est=14.8 dc=116 prim=33560 vram=160 static_mem=146 chunks=9 near=0 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:09.235 20000 20032 I godot   : PERF t=122.8 fps=29.6 p95=38.9 cpu=0.8 gpu_est=14.8 dc=134 prim=53582 vram=160 static_mem=146 chunks=9 near=0 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:11.271 20000 20032 I godot   : PERF t=124.8 fps=29.3 p95=34.7 cpu=0.7 gpu_est=19.6 dc=192 prim=70960 vram=160 static_mem=146 chunks=9 near=4 inst=70 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:13.270 20000 20032 I godot   : PERF t=126.8 fps=29.0 p95=34.7 cpu=0.9 gpu_est=19.4 dc=192 prim=70874 vram=160 static_mem=146 chunks=9 near=4 inst=70 lights=0 preset=performance knob=15 thermal=1
