[t=10s] zone0=49300
[t=20s] zone0=47300
[t=30s] zone0=49600
[t=40s] zone0=47700
[t=50s] zone0=48100
[t=60s] zone0=46500
[t=70s] zone0=45700
[t=80s] zone0=45700
[t=90s] zone0=45300
[t=100s] zone0=49600
[t=110s] zone0=46900
[t=120s] zone0=47300
[t=130s] zone0=45700
[t=140s] zone0=45000
[t=150s] zone0=44600
[t=160s] zone0=45000
[t=170s] zone0=45000
[t=180s] zone0=41400
[t=190s] zone0=43400
[t=200s] zone0=40600
[t=210s] zone0=39500
[t=220s] zone0=45700
[t=230s] zone0=46100
[t=240s] zone0=45300
[t=250s] zone0=44600
[t=260s] zone0=44200
[t=270s] zone0=44600
[t=280s] zone0=44600
[t=290s] zone0=45000
[t=300s] zone0=46100
